Agency,Descriptor,Resolved Type,Duration Type,Community Board,Cluster Labels
NYPD,Traffic,no_violation,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Noise,no_violation,"(0.069, 26.55]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Traffic,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",01 MANHATTAN,1
NYPD,Noise,no_violation,"(63.33, 2677.65]",08 MANHATTAN,3
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
NYPD,Safety,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Personal Issue,fixed,"(26.55, 63.33]",07 MANHATTAN,1
NYPD,Noise,fixed,"(63.33, 2677.65]",05 MANHATTAN,1
NYPD,Energy,fixed,"(0.069, 26.55]",01 MANHATTAN,10
NYPD,Traffic,no_violation,"(26.55, 63.33]",03 MANHATTAN,8
NYPD,Traffic,no_violation,"(63.33, 2677.65]",06 MANHATTAN,7
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,fixed,"(63.33, 2677.65]",08 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Safety,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Other,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Safety,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Noise,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Safety,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Noise,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Personal Issue,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",04 MANHATTAN,2
NYPD,Noise,info_needed,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",11 MANHATTAN,8
NYPD,Safety,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Noise,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Safety,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Traffic,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Personal Issue,fixed,"(26.55, 63.33]",06 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
DOT,Traffic,fixed,"(2677.65, 59476.62]",01 MANHATTAN,4
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Energy,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Trash/Pollution,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Personal Issue,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
DOT,Commercial,fixed,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Traffic,fixed,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Traffic,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
DOT,Commercial,fixed,"(63.33, 2677.65]",11 MANHATTAN,1
DOT,Commercial,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Commercial,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Personal Issue,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
DOT,Other,fixed,"(0.069, 26.55]",09 MANHATTAN,10
DOT,Commercial,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Commercial,fixed,"(63.33, 2677.65]",02 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",11 MANHATTAN,10
NYPD,Traffic,fixed,"(26.55, 63.33]",03 MANHATTAN,1
HPD,Trash/Pollution,no_violation,"(2677.65, 59476.62]",04 MANHATTAN,5
HPD,Trash/Pollution,no_violation,"(2677.65, 59476.62]",03 MANHATTAN,5
HPD,House,fixed,"(63.33, 2677.65]",04 MANHATTAN,4
HPD,House,info_needed,"(63.33, 2677.65]",05 MANHATTAN,4
HPD,House,duplicated_report,"(63.33, 2677.65]",05 MANHATTAN,4
HPD,Trash/Pollution,fixed,"(2677.65, 59476.62]",11 MANHATTAN,4
HPD,Trash/Pollution,no_violation,"(2677.65, 59476.62]",11 MANHATTAN,5
HPD,House,fixed,"(63.33, 2677.65]",11 MANHATTAN,4
DOT,Commercial,fixed,"(63.33, 2677.65]",02 MANHATTAN,1
DOT,Commercial,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Commercial,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Commercial,fixed,"(63.33, 2677.65]",03 MANHATTAN,1
DOT,Safety,followup,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Traffic,followup,"(63.33, 2677.65]",05 MANHATTAN,7
DOT,Traffic,followup,"(63.33, 2677.65]",05 MANHATTAN,7
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",12 MANHATTAN,2
DOT,Other,followup,"(2677.65, 59476.62]",11 MANHATTAN,4
DOT,Other,followup,"(2677.65, 59476.62]",01 MANHATTAN,4
NYPD,Noise,no_violation,"(0.069, 26.55]",12 MANHATTAN,2
DOT,Other,followup,"(63.33, 2677.65]",11 MANHATTAN,3
DOT,Other,referred,"(63.33, 2677.65]",07 MANHATTAN,3
NYPD,Safety,fixed,"(26.55, 63.33]",07 MANHATTAN,1
NYPD,Energy,no_violation,"(26.55, 63.33]",02 MANHATTAN,2
DOT,Traffic,fixed,"(0.069, 26.55]",09 MANHATTAN,10
DOHMH,Animals,duplicated_report,"(63.33, 2677.65]",11 MANHATTAN,3
DOHMH,Animals,duplicated_report,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",05 MANHATTAN,10
NYPD,Energy,no_violation,"(26.55, 63.33]",02 MANHATTAN,2
NYPD,Noise,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",02 MANHATTAN,2
TLC,Personal Issue,followup,"(63.33, 2677.65]",05 MANHATTAN,3
NYPD,Personal Issue,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
HPD,House,fixed,"(63.33, 2677.65]",03 MANHATTAN,4
TLC,Commercial,followup,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",02 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
TLC,Commercial,followup,"(63.33, 2677.65]",05 MANHATTAN,3
NYPD,Traffic,fixed,"(63.33, 2677.65]",05 MANHATTAN,7
TLC,Personal Issue,followup,"(63.33, 2677.65]",03 MANHATTAN,3
HPD,House,fixed,"(63.33, 2677.65]",10 MANHATTAN,4
NYPD,Safety,fixed,"(26.55, 63.33]",12 MANHATTAN,1
HPD,House,fixed,"(63.33, 2677.65]",10 MANHATTAN,4
NYPD,Traffic,fixed,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Safety,fixed,"(26.55, 63.33]",01 MANHATTAN,1
NYPD,Safety,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(26.55, 63.33]",11 MANHATTAN,1
DOT,Commercial,fixed,"(63.33, 2677.65]",07 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Safety,fixed,"(26.55, 63.33]",02 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",03 MANHATTAN,1
DOT,Commercial,fixed,"(63.33, 2677.65]",09 MANHATTAN,1
DOT,Commercial,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",05 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
DPR,Safety,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
DOT,Personal Issue,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
DOT,Other,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,fixed,"(63.33, 2677.65]",08 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",08 MANHATTAN,1
TLC,Traffic,duplicated_report,"(63.33, 2677.65]",05 MANHATTAN,7
NYPD,Traffic,fixed,"(26.55, 63.33]",08 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",08 MANHATTAN,1
DCA,Other,info_needed,"(63.33, 2677.65]",02 MANHATTAN,3
DCA,Other,no_violation,"(63.33, 2677.65]",06 MANHATTAN,3
TLC,Commercial,followup,"(2677.65, 59476.62]",08 MANHATTAN,4
TLC,Other,followup,"(0.069, 26.55]",07 MANHATTAN,6
DOT,Other,fixed,"(2677.65, 59476.62]",06 MANHATTAN,4
DOT,Other,fixed,"(2677.65, 59476.62]",05 MANHATTAN,4
DOT,Other,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
DOT,Other,fixed,"(2677.65, 59476.62]",02 MANHATTAN,4
DOT,Other,fixed,"(2677.65, 59476.62]",03 MANHATTAN,4
DOT,Other,fixed,"(2677.65, 59476.62]",08 MANHATTAN,4
DOT,Other,fixed,"(2677.65, 59476.62]",08 MANHATTAN,4
DOT,Traffic,fixed,"(2677.65, 59476.62]",03 MANHATTAN,4
DOT,Other,fixed,"(2677.65, 59476.62]",10 MANHATTAN,1
DOT,Other,fixed,"(2677.65, 59476.62]",02 MANHATTAN,4
DOT,Other,fixed,"(63.33, 2677.65]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
DOT,Traffic,fixed,"(2677.65, 59476.62]",05 MANHATTAN,4
DOT,Traffic,fixed,"(2677.65, 59476.62]",04 MANHATTAN,4
TLC,Personal Issue,followup,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Traffic,fixed,"(26.55, 63.33]",04 MANHATTAN,1
DOT,Commercial,fixed,"(63.33, 2677.65]",11 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",08 MANHATTAN,10
TLC,Other,followup,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
DPR,Safety,followup,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",11 MANHATTAN,7
DCA,Commercial,referred,"(63.33, 2677.65]",05 MANHATTAN,3
DCA,Commercial,referred,"(63.33, 2677.65]",12 MANHATTAN,2
DCA,Commercial,info_needed,"(63.33, 2677.65]",08 MANHATTAN,7
DCA,Commercial,referred,"(63.33, 2677.65]",12 MANHATTAN,2
DOT,Personal Issue,fixed,"(63.33, 2677.65]",07 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Safety,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Safety,no_violation,"(63.33, 2677.65]",07 MANHATTAN,3
TLC,Personal Issue,followup,"(63.33, 2677.65]",05 MANHATTAN,3
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Other,no_violation,"(26.55, 63.33]",02 MANHATTAN,2
TLC,Other,followup,"(63.33, 2677.65]",06 MANHATTAN,3
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
TLC,Personal Issue,followup,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Traffic,fixed,"(63.33, 2677.65]",03 MANHATTAN,7
DCA,Commercial,referred,"(63.33, 2677.65]",04 MANHATTAN,3
DCA,Commercial,referred,"(63.33, 2677.65]",05 MANHATTAN,3
DCA,Commercial,referred,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
TLC,Personal Issue,followup,"(63.33, 2677.65]",02 MANHATTAN,3
NYPD,Traffic,fixed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Other,no_violation,"(26.55, 63.33]",11 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,no_violation,"(63.33, 2677.65]",08 MANHATTAN,3
NYPD,Noise,no_violation,"(63.33, 2677.65]",08 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,fixed,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Noise,fixed,"(0.069, 26.55]",08 MANHATTAN,10
NYPD,Traffic,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Traffic,referred,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Traffic,fixed,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,no_violation,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Safety,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Noise,fixed,"(0.069, 26.55]",08 MANHATTAN,10
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,fixed,"(0.069, 26.55]",05 MANHATTAN,10
NYPD,Noise,info_needed,"(26.55, 63.33]",05 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Safety,fixed,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
DCA,Commercial,referred,"(63.33, 2677.65]",05 MANHATTAN,3
DCA,Other,followup,"(63.33, 2677.65]",11 MANHATTAN,3
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Traffic,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Safety,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",07 MANHATTAN,8
HPD,House,fixed,"(63.33, 2677.65]",09 MANHATTAN,4
HPD,Safety,fixed,"(63.33, 2677.65]",09 MANHATTAN,4
TLC,Other,followup,"(0.069, 26.55]",08 MANHATTAN,6
NYPD,Traffic,referred,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(26.55, 63.33]",01 MANHATTAN,1
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",11 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",10 MANHATTAN,5
DSNY,Trash/Pollution,referred,"(2677.65, 59476.62]",10 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",10 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",10 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",10 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",09 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",07 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",07 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",11 MANHATTAN,5
DSNY,Trash/Pollution,referred,"(63.33, 2677.65]",10 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",12 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",10 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",05 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",12 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",05 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",12 MANHATTAN,5
DOT,Other,referred,"(2677.65, 59476.62]",08 MANHATTAN,4
NYPD,Personal Issue,fixed,"(26.55, 63.33]",09 MANHATTAN,1
DOT,Other,referred,"(2677.65, 59476.62]",08 MANHATTAN,4
DOT,Other,referred,"(2677.65, 59476.62]",08 MANHATTAN,4
DOT,Other,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Trash/Pollution,referred,"(63.33, 2677.65]",08 MANHATTAN,7
DOT,Safety,fixed,"(63.33, 2677.65]",05 MANHATTAN,1
DOT,Safety,fixed,"(63.33, 2677.65]",05 MANHATTAN,1
TLC,Other,followup,"(26.55, 63.33]",08 MANHATTAN,1
DOT,Safety,referred,"(63.33, 2677.65]",02 MANHATTAN,3
DOT,Trash/Pollution,no_violation,"(63.33, 2677.65]",05 MANHATTAN,3
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
DOT,Trash/Pollution,referred,"(63.33, 2677.65]",03 MANHATTAN,3
HPD,Safety,no_violation,"(2677.65, 59476.62]",07 MANHATTAN,9
HPD,House,fixed,"(2677.65, 59476.62]",07 MANHATTAN,4
HPD,House,fixed,"(2677.65, 59476.62]",07 MANHATTAN,4
HPD,Trash/Pollution,no_violation,"(2677.65, 59476.62]",07 MANHATTAN,5
DOT,Noise,no_violation,"(63.33, 2677.65]",11 MANHATTAN,3
DOT,Noise,referred,"(63.33, 2677.65]",11 MANHATTAN,3
DOT,Noise,referred,"(63.33, 2677.65]",11 MANHATTAN,3
NYPD,Noise,fixed,"(0.069, 26.55]",06 MANHATTAN,10
TLC,Commercial,followup,"(63.33, 2677.65]",02 MANHATTAN,3
NYPD,Traffic,no_violation,"(26.55, 63.33]",02 MANHATTAN,8
DOT,Safety,referred,"(63.33, 2677.65]",02 MANHATTAN,3
NYPD,Traffic,fixed,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Noise,info_needed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Traffic,referred,"(26.55, 63.33]",11 MANHATTAN,8
NYPD,Traffic,referred,"(26.55, 63.33]",11 MANHATTAN,8
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
DOT,Commercial,fixed,"(63.33, 2677.65]",04 MANHATTAN,3
DCA,Commercial,referred,"(63.33, 2677.65]",05 MANHATTAN,3
DCA,Commercial,referred,"(63.33, 2677.65]",01 MANHATTAN,3
DCA,Other,referred,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Traffic,fixed,"(0.069, 26.55]",01 MANHATTAN,10
NYPD,Traffic,no_violation,"(63.33, 2677.65]",07 MANHATTAN,7
NYPD,Noise,fixed,"(26.55, 63.33]",11 MANHATTAN,1
DOT,Safety,followup,"(63.33, 2677.65]",03 MANHATTAN,3
DOT,Safety,referred,"(63.33, 2677.65]",03 MANHATTAN,3
DOT,Traffic,no_violation,"(63.33, 2677.65]",10 MANHATTAN,7
DOT,Other,followup,"(2677.65, 59476.62]",10 MANHATTAN,9
NYPD,Traffic,no_violation,"(26.55, 63.33]",02 MANHATTAN,8
DOT,Safety,fixed,"(2677.65, 59476.62]",11 MANHATTAN,4
DOT,Noise,no_violation,"(2677.65, 59476.62]",11 MANHATTAN,2
DOT,Safety,referred,"(2677.65, 59476.62]",11 MANHATTAN,4
TLC,Other,followup,"(0.069, 26.55]",07 MANHATTAN,6
HPD,House,fixed,"(2677.65, 59476.62]",10 MANHATTAN,4
DOT,Safety,referred,"(2677.65, 59476.62]",07 MANHATTAN,4
HPD,Energy,fixed,"(2677.65, 59476.62]",04 MANHATTAN,4
HPD,House,fixed,"(2677.65, 59476.62]",04 MANHATTAN,4
HPD,House,fixed,"(2677.65, 59476.62]",04 MANHATTAN,4
HPD,Trash/Pollution,fixed,"(2677.65, 59476.62]",04 MANHATTAN,4
NYPD,Noise,no_violation,"(0.069, 26.55]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(26.55, 63.33]",03 MANHATTAN,1
HPD,House,fixed,"(2677.65, 59476.62]",09 MANHATTAN,4
HPD,House,fixed,"(2677.65, 59476.62]",09 MANHATTAN,4
HPD,House,no_violation,"(2677.65, 59476.62]",09 MANHATTAN,9
HPD,Safety,fixed,"(2677.65, 59476.62]",09 MANHATTAN,4
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
DCA,Commercial,info_needed,"(63.33, 2677.65]",08 MANHATTAN,7
DCA,Commercial,referred,"(63.33, 2677.65]",01 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
DOT,Other,fixed,"(2677.65, 59476.62]",05 MANHATTAN,4
DSNY,Trash/Pollution,fixed,"(63.33, 2677.65]",12 MANHATTAN,4
DOT,Other,fixed,"(2677.65, 59476.62]",11 MANHATTAN,4
DOT,Other,fixed,"(63.33, 2677.65]",09 MANHATTAN,1
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",12 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",12 MANHATTAN,5
NYPD,Traffic,fixed,"(0.069, 26.55]",06 MANHATTAN,10
DSNY,Other,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(0.069, 26.55]",06 MANHATTAN,10
DSNY,Animals,no_violation,"(2677.65, 59476.62]",12 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",12 MANHATTAN,5
TLC,Commercial,followup,"(2677.65, 59476.62]",01 MANHATTAN,4
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
DSNY,Safety,fixed,"(63.33, 2677.65]",03 MANHATTAN,1
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",03 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",03 MANHATTAN,5
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",03 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(2677.65, 59476.62]",03 MANHATTAN,5
DSNY,Trash/Pollution,no_violation,"(63.33, 2677.65]",03 MANHATTAN,5
